Ref2#,SO#,Date,"Total Amount",Balance,Applied,Refunded,Currency
57715,CA-S034665,03/18/2025,"$ 360.71","$ 360.71","$ 0.00","$ 0.00",USD
57583,CA-S034516,03/10/2025,"$ 349.90","$ 349.90","$ 0.00","$ 0.00",USD
57395,CA-S034289,03/02/2025,"$ 338.30","$ 338.30","$ 0.00","$ 0.00",USD
57754,US-S034715,03/20/2025,"$ 315.00","$ 315.00","$ 0.00","$ 0.00",USD
57802,US-S034767,03/22/2025,"$ 315.00","$ 315.00","$ 0.00","$ 0.00",USD
57808,US-S034773,03/22/2025,"$ 310.00","$ 310.00","$ 0.00","$ 0.00",USD
57793,US-S034758,03/21/2025,"$ 298.00","$ 298.00","$ 0.00","$ 0.00",USD
57279,CA-S034150,02/23/2025,"$ 294.79","$ 294.79","$ 0.00","$ 0.00",USD
57804,US-S034769,03/22/2025,"$ 280.00","$ 280.00","$ 0.00","$ 0.00",USD
57457,US-S034365,03/05/2025,"$ 280.00","$ 280.00","$ 0.00","$ 0.00",USD
57253,US-S034123,02/20/2025,"$ 279.08","$ 279.08","$ 0.00","$ 0.00",USD
57806,US-S034772,03/22/2025,"$ 270.00","$ 270.00","$ 0.00","$ 0.00",USD
57216,CA-S034083,02/19/2025,"$ 262.72","$ 262.72","$ 0.00","$ 0.00",USD
57313,CA-S034200,02/25/2025,"$ 262.47","$ 262.47","$ 0.00","$ 0.00",USD
57664,CA-S034608,03/15/2025,"$ 262.42","$ 262.42","$ 0.00","$ 0.00",USD
57367,CA-S034261,02/28/2025,"$ 262.19","$ 262.19","$ 0.00","$ 0.00",USD
57429,CA-S034331,03/04/2025,"$ 262.01","$ 262.01","$ 0.00","$ 0.00",USD
57805,US-S034770,03/22/2025,"$ 251.75","$ 251.75","$ 0.00","$ 0.00",USD
57803,CA-S034768,03/22/2025,"$ 250.29","$ 250.29","$ 0.00","$ 0.00",USD
57777,US-S034741,03/20/2025,"$ 244.00","$ 244.00","$ 0.00","$ 0.00",USD
57238,US-S034106,02/20/2025,"$ 242.99","$ 242.99","$ 0.00","$ 0.00",USD
57236,US-S034104,02/20/2025,"$ 240.90","$ 240.90","$ 0.00","$ 0.00",USD
